/home/chris/miniconda3/envs/marlo/bin/python /home/chris/Desktop/lunar-lander/train_agent1.py --verbose --overwrite
/home/chris/miniconda3/envs/marlo/lib/python3.6/site-packages/gymnasium/core.py:27: UserWarning: WARN: Gymnasium minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+
  "Gymnasium minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+"
/home/chris/miniconda3/envs/marlo/lib/python3.6/site-packages/gym/core.py:27: UserWarning: WARN: Gym minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+
  "Gym minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+"
dimension of state space = 15
number of actions = 7
| episode | return          | minimal return      | mean return        |
|         | (this episode)  | (last 20 episodes)  | (last 20 episodes) |
|-----------------------------------------------------------------------

|     221 |     -208.000    |       -225.700      |      -186.425      |

|     222 |     -207.100    |       -225.700      |      -188.295      |



|     223 |     -210.100    |       -218.500      |      -187.515      |

|     224 |     -213.700    |       -218.500      |      -188.820      |

|     225 |     -188.700    |       -218.500      |      -187.430      |

|     226 |     -213.600    |       -218.500      |      -187.695      |

|     227 |     -153.800    |       -218.500      |      -184.605      |

|     228 |     -175.800    |       -218.500      |      -182.930      |

|     229 |     -219.600    |       -219.600      |      -186.090      |

|     230 |     -186.400    |       -219.600      |      -185.000      |

|     231 |     -186.700    |       -219.600      |      -185.245      |

|     232 |     -212.800    |       -219.600      |      -186.185      |

|     233 |     -211.900    |       -219.600      |      -192.375      |

|     234 |     -211.200    |       -219.600      |      -192.420      |

|     235 |     -122.900    |       -219.600      |      -189.555      |

|     236 |     -175.500    |       -219.600      |      -187.855      |

|     237 |     -172.500    |       -219.600      |      -188.035      |

|     238 |     -217.400    |       -219.600      |      -187.980      |

|     239 |     -216.000    |       -219.600      |      -192.885      |

|     240 |     -147.300    |       -219.600      |      -192.550      |



|     241 |     -210.100    |       -219.600      |      -192.655      |

|     242 |     -213.800    |       -219.600      |      -192.990      |

|     243 |     -173.200    |       -219.600      |      -191.145      |

|     244 |     -212.500    |       -219.600      |      -191.085      |



|     245 |     -204.100    |       -219.600      |      -191.855      |

|     246 |     -205.200    |       -219.600      |      -191.435      |

|     247 |     -181.900    |       -219.600      |      -192.840      |

|     248 |     -211.900    |       -219.600      |      -194.645      |

|     249 |     -195.900    |       -217.400      |      -193.460      |

|     250 |     -140.100    |       -217.400      |      -191.145      |

|     251 |     -185.600    |       -217.400      |      -191.090      |

|     252 |     -207.700    |       -217.400      |      -190.835      |

|     253 |     -218.000    |       -218.000      |      -191.140      |

|     254 |     -140.100    |       -218.000      |      -187.585      |

|     255 |     -142.600    |       -218.000      |      -188.570      |

|     256 |     -172.700    |       -218.000      |      -188.430      |

|     257 |     -185.900    |       -218.000      |      -189.100      |

|     258 |     -149.100    |       -218.000      |      -185.685      |

|     259 |     -197.300    |       -218.000      |      -184.750      |

|     260 |     -116.700    |       -218.000      |      -183.220      |


|     261 |     -147.700    |       -218.000      |      -180.100      |

|     262 |     -203.500    |       -218.000      |      -179.585      |

|     263 |        3.400    |       -218.000      |      -170.755      |

|     264 |     -149.800    |       -218.000      |      -167.620      |

|     265 |     -212.700    |       -218.000      |      -168.050      |

|     266 |     -209.400    |       -218.000      |      -168.260      |

|     267 |     -205.000    |       -218.000      |      -169.415      |

|     268 |     -171.000    |       -218.000      |      -167.370      |

|     269 |     -178.800    |       -218.000      |      -166.515      |

|     270 |       50.200    |       -218.000      |      -157.000      |

|     271 |       10.200    |       -218.000      |      -147.210      |

|     272 |     -206.200    |       -218.000      |      -147.135      |

|     273 |       73.800    |       -212.700      |      -132.545      |



|     274 |      -87.800    |       -212.700      |      -129.930      |

|     275 |     -151.500    |       -212.700      |      -130.375      |

|     276 |     -141.900    |       -212.700      |      -128.835      |

|     277 |     -180.800    |       -212.700      |      -128.580      |

|     278 |     -197.200    |       -212.700      |      -130.985      |

|     279 |     -178.800    |       -212.700      |      -130.060      |

|     280 |      -92.200    |       -212.700      |      -128.835      |

|     281 |     -145.900    |       -212.700      |      -128.745      |

